Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,AD/AB
7Domi_3,RMV7_PRCI_AD,UNKNOWN,SYBR,None,17.309,17.332,0.020,"23,439.441","23,065.500",
7Domi_3,RMV7_PRCI_AD,UNKNOWN,SYBR,None,17.347,17.332,0.020,"22,830.467","23,065.500",
7Domi_3,RMV7_PRCI_AD,UNKNOWN,SYBR,None,17.341,17.332,0.020,"22,926.592","23,065.500",
7Domi_3,RMV7_PRCI_AB,UNKNOWN,SYBR,None,11.418,11.471,0.048,"6,261,961.000","6,044,909.500",0.00387755
7Domi_3,RMV7_PRCI_AB,UNKNOWN,SYBR,None,11.486,11.471,0.048,"5,983,010.000","6,044,909.500",0.003776809
7Domi_3,RMV7_PRCI_AB,UNKNOWN,SYBR,None,11.510,11.471,0.048,"5,889,757.500","6,044,909.500",0.003792711
7Rare_3,RMV7_PRCI_AD,UNKNOWN,SYBR,None,14.542,14.463,0.069,"160,048.844","169,200.359",
7Rare_3,RMV7_PRCI_AD,UNKNOWN,SYBR,None,14.413,14.463,0.069,"174,959.953","169,200.359",
7Rare_3,RMV7_PRCI_AD,UNKNOWN,SYBR,None,14.433,14.463,0.069,"172,592.313","169,200.359",
7Rare_3,RMV7_PRCI_AB,UNKNOWN,SYBR,None,9.758,9.726,0.029,"18,904,362.000","19,320,862.000",0.008283732
7Rare_3,RMV7_PRCI_AB,UNKNOWN,SYBR,None,9.705,9.726,0.029,"19,588,986.000","19,320,862.000",0.009055494
7Rare_3,RMV7_PRCI_AB,UNKNOWN,SYBR,None,9.714,9.726,0.029,"19,469,234.000","19,320,862.000",0.008932951
7Domi_1,RMV7_PRCI_AD,UNKNOWN,SYBR,None,16.667,16.746,0.074,"36,608.910","34,666.922",
7Domi_1,RMV7_PRCI_AD,UNKNOWN,SYBR,None,16.760,16.746,0.074,"34,313.871","34,666.922",
7Domi_1,RMV7_PRCI_AD,UNKNOWN,SYBR,None,16.813,16.746,0.074,"33,077.984","34,666.922",
7Domi_1,RMV7_PRCI_AB,UNKNOWN,SYBR,None,9.618,9.837,0.205,"20,760,170.000","18,055,846.000",0.002027538
7Domi_1,RMV7_PRCI_AB,UNKNOWN,SYBR,None,9.869,9.837,0.205,"17,561,020.000","18,055,846.000",0.00190043
7Domi_1,RMV7_PRCI_AB,UNKNOWN,SYBR,None,10.023,9.837,0.205,"15,846,345.000","18,055,846.000",0.001831982
7Rare_1,RMV7_PRCI_AD,UNKNOWN,SYBR,None,15.107,15.042,0.062,"108,069.703","113,119.750",
7Rare_1,RMV7_PRCI_AD,UNKNOWN,SYBR,None,15.036,15.042,0.062,"113,592.297","113,119.750",
7Rare_1,RMV7_PRCI_AD,UNKNOWN,SYBR,None,14.984,15.042,0.062,"117,697.258","113,119.750",
7Rare_1,RMV7_PRCI_AB,UNKNOWN,SYBR,None,10.039,10.106,0.070,"15,679,807.000","15,008,209.000",0.007200706
7Rare_1,RMV7_PRCI_AB,UNKNOWN,SYBR,None,10.100,10.106,0.070,"15,060,597.000","15,008,209.000",0.007568678
7Rare_1,RMV7_PRCI_AB,UNKNOWN,SYBR,None,10.179,10.106,0.070,"14,284,224.000","15,008,209.000",0.007842192
7Domi_2,RMV7_PRCI_AD,UNKNOWN,SYBR,None,17.620,17.673,0.128,"18,889.227","18,246.396",
7Domi_2,RMV7_PRCI_AD,UNKNOWN,SYBR,None,17.819,17.673,0.128,"16,450.029","18,246.396",
7Domi_2,RMV7_PRCI_AD,UNKNOWN,SYBR,None,17.581,17.673,0.128,"19,399.932","18,246.396",
7Domi_2,RMV7_PRCI_AB,UNKNOWN,SYBR,None,10.982,11.065,0.093,"8,367,509.000","7,930,722.500",0.002381779
7Domi_2,RMV7_PRCI_AB,UNKNOWN,SYBR,None,11.166,11.065,0.093,"7,404,505.500","7,930,722.500",0.002074216
7Domi_2,RMV7_PRCI_AB,UNKNOWN,SYBR,None,11.046,11.065,0.093,"8,020,155.000","7,930,722.500",0.002446175
7Rare_2,RMV7_PRCI_AD,UNKNOWN,SYBR,None,14.799,14.977,0.157,"133,903.547","118,750.273",
7Rare_2,RMV7_PRCI_AD,UNKNOWN,SYBR,None,15.040,14.977,0.157,"113,258.719","118,750.273",
7Rare_2,RMV7_PRCI_AD,UNKNOWN,SYBR,None,15.094,14.977,0.157,"109,088.563","118,750.273",
7Rare_2,RMV7_PRCI_AB,UNKNOWN,SYBR,None,9.834,9.875,0.035,"17,978,670.000","17,501,286.000",0.007651069
7Rare_2,RMV7_PRCI_AB,UNKNOWN,SYBR,None,9.898,9.875,0.035,"17,222,992.000","17,501,286.000",0.006471451
7Rare_2,RMV7_PRCI_AB,UNKNOWN,SYBR,None,9.891,9.875,0.035,"17,302,194.000","17,501,286.000",0.006233174
