Sample.Name,replicate,Target.Name,fold_change
RMV8_col4,1st,sugar_dnaC,1.047356947
RMV8_col4,1st,sugar_dnaC,0.995679445
RMV8_col4,1st,sugar_dnaC,0.958928335
RMV8_col4,1st,sugar_int,1.022632537
RMV8_col4,1st,sugar_int,0.96941808
RMV8_col4,1st,sugar_int,1.008721352
RMV8_col4_MMC,1st,sugar_dnaC,7.477367601
RMV8_col4_MMC,1st,sugar_dnaC,8.356387258
RMV8_col4_MMC,1st,sugar_dnaC,6.904196227
RMV8_col4_MMC,1st,sugar_int,4.463185075
RMV8_col4_MMC,1st,sugar_int,3.643088652
RMV8_col4_MMC,1st,sugar_int,4.028899226
RMV8_col4_procat,1st,sugar_dnaC,0.155698417
RMV8_col4_procat,1st,sugar_dnaC,0.156303745
RMV8_col4_procat,1st,sugar_dnaC,0.159166257
RMV8_col4_procat,1st,sugar_int,1.068016017
RMV8_col4_procat,1st,sugar_int,1.03650568
RMV8_col4_procat,1st,sugar_int,1.073170905
RMV8_col4_procat_MMC,1st,sugar_dnaC,0.94115991
RMV8_col4_procat_MMC,1st,sugar_dnaC,0.986975843
RMV8_col4_procat_MMC,1st,sugar_dnaC,0.977312731
RMV8_col4_procat_MMC,1st,sugar_int,2.736424122
RMV8_col4_procat_MMC,1st,sugar_int,2.559401909
RMV8_col4_procat_MMC,1st,sugar_int,2.620280538
RMV8_col4,2nd,sugar_dnaC,1.000359554
RMV8_col4,2nd,sugar_dnaC,1.02150666
RMV8_col4,2nd,sugar_dnaC,0.978596531
RMV8_col4,2nd,sugar_int,1.085604182
RMV8_col4,2nd,sugar_int,0.946361899
RMV8_col4,2nd,sugar_int,0.973358209
RMV8_col4_MMC,2nd,sugar_dnaC,2.266576641
RMV8_col4_MMC,2nd,sugar_dnaC,2.228498936
RMV8_col4_MMC,2nd,sugar_dnaC,2.276568222
RMV8_col4_MMC,2nd,sugar_int,2.417618205
RMV8_col4_MMC,2nd,sugar_int,2.157818499
RMV8_col4_MMC,2nd,sugar_int,2.08756503
RMV8_col4_procat,2nd,sugar_dnaC,0.283959167
RMV8_col4_procat,2nd,sugar_dnaC,0.299885384
RMV8_col4_procat,2nd,sugar_dnaC,0.307991398
RMV8_col4_procat,2nd,sugar_int,0.526388433
RMV8_col4_procat,2nd,sugar_int,0.485192386
RMV8_col4_procat,2nd,sugar_int,0.513619755
RMV8_col4_procat_MMC,2nd,sugar_dnaC,0.709976078
RMV8_col4_procat_MMC,2nd,sugar_dnaC,0.710463399
RMV8_col4_procat_MMC,2nd,sugar_dnaC,0.71690587
RMV8_col4_procat_MMC,2nd,sugar_int,1.070683693
RMV8_col4_procat_MMC,2nd,sugar_int,1.048675184
RMV8_col4_procat_MMC,2nd,sugar_int,1.110545588
RMV8_col4,3rd,sugar_dnaC,1.019826647
RMV8_col4,3rd,sugar_dnaC,1.1510582
RMV8_col4,3rd,sugar_dnaC,0.851875626
RMV8_col4,3rd,sugar_int,1.092975837
RMV8_col4,3rd,sugar_int,0.919166954
RMV8_col4,3rd,sugar_int,0.995396552
RMV8_col4_MMC,3rd,sugar_dnaC,0.796973789
RMV8_col4_MMC,3rd,sugar_dnaC,0.865041183
RMV8_col4_MMC,3rd,sugar_dnaC,0.844886167
RMV8_col4_MMC,3rd,sugar_int,0.912013553
RMV8_col4_MMC,3rd,sugar_int,0.997473237
RMV8_col4_MMC,3rd,sugar_int,0.848700451
RMV8_col4_procat,3rd,sugar_dnaC,0.119375163
RMV8_col4_procat,3rd,sugar_dnaC,0.120183732
RMV8_col4_procat,3rd,sugar_dnaC,0.116871575
RMV8_col4_procat,3rd,sugar_int,0.247835615
RMV8_col4_procat,3rd,sugar_int,0.264130861
RMV8_col4_procat,3rd,sugar_int,0.238287429
RMV8_col4_procat_MMC,3rd,sugar_dnaC,0.188563082
RMV8_col4_procat_MMC,3rd,sugar_dnaC,0.207558071
RMV8_col4_procat_MMC,3rd,sugar_dnaC,0.187192482
RMV8_col4_procat_MMC,3rd,sugar_int,0.396296597
RMV8_col4_procat_MMC,3rd,sugar_int,0.374984384
RMV8_col4_procat_MMC,3rd,sugar_int,0.337202471
RMV8_col4,4th,sugar_dnaC,1.044358162144570
RMV8_col4,4th,sugar_dnaC,0.987979972521431
RMV8_col4,4th,sugar_dnaC,0.969177150541503
RMV8_col4,4th,sugar_int,1.027157727
RMV8_col4,4th,sugar_int,0.990895315
RMV8_col4,4th,sugar_int,0.982504887
RMV8_col4_MMC,4th,sugar_dnaC,1.286591002270260
RMV8_col4_MMC,4th,sugar_dnaC,1.078413915504040
RMV8_col4_MMC,4th,sugar_dnaC,1.187326248593670
RMV8_col4_MMC,4th,sugar_int,0.828823203
RMV8_col4_MMC,4th,sugar_int,0.829655306
RMV8_col4_MMC,4th,sugar_int,0.817231836
RMV8_col4_procat,4th,sugar_dnaC,0.25860903
RMV8_col4_procat,4th,sugar_dnaC,0.268013449
RMV8_col4_procat,4th,sugar_dnaC,0.292772333
RMV8_col4_procat,4th,sugar_int,0.315212139
RMV8_col4_procat,4th,sugar_int,0.315201304
RMV8_col4_procat,4th,sugar_int,0.326363709
RMV8_col4_procat_MMC,4th,sugar_dnaC,0.328231871
RMV8_col4_procat_MMC,4th,sugar_dnaC,0.326963299
RMV8_col4_procat_MMC,4th,sugar_dnaC,0.277615223
RMV8_col4_procat_MMC,4th,sugar_int,0.375994599
RMV8_col4_procat_MMC,4th,sugar_int,0.298984989
RMV8_col4_procat_MMC,4th,sugar_int,0.294414091
