Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,AD/average,Replicate ,Mutant,Condition ,Hour after treatment 
tvrR_T2h_media_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.283,14.283,0.033,"1,188,951.75","1,188,516.88",,3,tvrR ,media,2
tvrR_T2h_media_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.962,9.83,0.118,"36,260,276.00","39,877,956.00",0.0304684,3,tvrR ,media,2
tvrR_T2h_media_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.737,9.83,0.118,"42,439,044.00","39,877,956.00",0.029128405,3,tvrR ,media,2
tvrR_T2h_media_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.789,9.83,0.118,"40,934,552.00","39,877,956.00",0.029814762,3,tvrR ,media,2
procat_2h_media_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.156,14.695,0.399,"656,168.81","918,771.81",,1,procat,media,2
procat_2h_media_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.466,14.695,0.399,"1,049,472.25","918,771.81",,1,procat,media,2
procat_2h_media_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.464,14.695,0.399,"1,050,674.50","918,771.81",,1,procat,media,2
procat_T2h_media_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.131,8.163,0.114,"130,563,552.00","127,965,856.00",0.005127687,1,procat,media,2
procat_T2h_media_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.289,8.163,0.114,"116,868,056.00","127,965,856.00",0.00820119,1,procat,media,2
procat_T2h_media_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.068,8.163,0.114,"136,465,968.00","127,965,856.00",0.008210585,1,procat,media,2
procat_2h_media_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.548,16.528,0.036,"254,160.95","257,779.23",,2,procat,media,2
procat_2h_media_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.486,16.528,0.036,"265,219.03","257,779.23",,2,procat,media,2
procat_2h_media_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.549,16.528,0.036,"253,957.69","257,779.23",,2,procat,media,2
procat_T2h_media_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.623,9.459,0.171,"45,965,844.00","51,828,924.00",0.004903844,2,procat,media,2
procat_T2h_media_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.47,9.459,0.171,"51,158,356.00","51,828,924.00",0.005117201,2,procat,media,2
procat_T2h_media_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.282,9.459,0.171,"58,362,572.00","51,828,924.00",0.004899922,2,procat,media,2
procat_2h_media_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,13.933,13.57,0.322,"1,508,667.75","1,961,205.63",,3,procat,media,2
procat_2h_media_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,13.461,13.57,0.322,"2,080,952.75","1,961,205.63",,3,procat,media,2
procat_2h_media_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,13.318,13.57,0.322,"2,293,996.50","1,961,205.63",,3,procat,media,2
procat_T2h_media_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.239,10.09,0.14,"29,876,406.00","33,275,480.00",0.045338722,3,procat,media,2
procat_T2h_media_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.069,10.09,0.14,"33,646,168.00","33,275,480.00",0.062537122,3,procat,media,2
procat_T2h_media_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.961,10.09,0.14,"36,303,868.00","33,275,480.00",0.068939546,3,procat,media,2
