Sample Name,Target Name,CT,Ct Mean,rpoA_average_CT_values,Ctmean- rpOA_average_CT,geneof interest_CT_rpoA,Normalization,,Fold change,Replicate,Variant,growth_phase
rare_0.5_2,malG,25.988,26.088,22.375,,3.613,3.197015762,0.416,0.749493665,2,rare,stationary
rare_0.5_2,Int_PRCI,22.709,22.725,22.375,,0.334,2.409313202,-2.075,4.213529930117360,2,rare,stationary
rare_0.5_2,Int_PRCI,22.677,22.725,22.375,,0.302,2.409313202,-2.107,4.308852219892270,2,rare,stationary
rare_0.5_2,Int_PRCI,22.79,22.725,22.375,,0.415,2.409313202,-1.994,3.984298226506310,2,rare,stationary
domi_0.2_2,rpoA,22.668,22.707,22.707,,-0.039,0,-0.039,1.027479908652080,2,domi,exponential
domi_0.2_2,rpoA,22.612,22.707,22.707,,-0.094,0,-0.094,1.067610313116220,2,domi,exponential
domi_0.2_2,rpoA,22.84,22.707,22.707,,0.133,0,0.133,0.911617708,2,domi,exponential
domi_0.2_2,malG,26.772,26.807,22.707,,4.065,3.197015762,0.868,0.547889211,2,domi,exponential
domi_0.2_2,malG,26.757,26.807,22.707,,4.05,3.197015762,0.853,0.553555198,2,domi,exponential
domi_0.2_2,malG,26.891,26.807,22.707,,4.184,3.197015762,0.987,0.504532658,2,domi,exponential
domi_0.2_2,Int_PRCI,26.243,26.182,22.707,,3.536,2.409313202,1.127,0.457905935,2,domi,exponential
domi_0.2_2,Int_PRCI,26.196,26.182,22.707,,3.49,2.409313202,1.08,0.472958811,2,domi,exponential
domi_0.2_2,Int_PRCI,26.107,26.182,22.707,,3.4,2.409313202,0.991,0.503238283,2,domi,exponential
domi_0.5_2,rpoA,24.542,24.467,24.467,,0.075,0,0.075,0.949502285,2,domi,stationary
domi_0.5_2,rpoA,24.454,24.467,24.467,,-0.013,0,-0.013,1.008919913972140,2,domi,stationary
domi_0.5_2,rpoA,24.405,24.467,24.467,,-0.062,0,-0.062,1.043874863359050,2,domi,stationary
domi_0.5_2,malG,26.696,26.787,24.467,,2.229,3.197015762,-0.968,1.956243885443550,2,domi,stationary
domi_0.5_2,malG,26.858,26.787,24.467,,2.391,3.197015762,-0.806,1.748252932524630,2,domi,stationary
domi_0.5_2,malG,26.806,26.787,24.467,,2.338,3.197015762,-0.859,1.813451228498540,2,domi,stationary
domi_0.5_2,Int_PRCI,27.103,27.124,24.467,,2.635,2.409313202,0.226,0.855054276,2,domi,stationary
domi_0.5_2,Int_PRCI,26.966,27.124,24.467,,2.499,2.409313202,0.09,0.939656808,2,domi,stationary
domi_0.5_2,Int_PRCI,27.302,27.124,24.467,,2.835,2.409313202,0.425,0.744667802,2,domi,stationary
rare_0.2_3,rpoA,18.251,18.192,18.192,,0.059,0,0.059,0.959879757,3,rare,exponential
rare_0.2_3,rpoA,18.197,18.192,18.192,,0.006,0,0.006,0.996104845,3,rare,exponential
rare_0.2_3,rpoA,18.127,18.192,18.192,,-0.065,0,-0.065,1.045873749201440,3,rare,exponential
rare_0.2_3,malG,24.158,23.623,18.192,,5.966,3.197015762,2.769,0.146693313,3,rare,exponential
rare_0.2_3,malG,23.124,23.623,18.192,,4.932,3.197015762,1.735,0.300388631,3,rare,exponential
rare_0.2_3,malG,23.588,23.623,18.192,,5.397,3.197015762,2.2,0.217712637,3,rare,exponential
rare_0.2_3,Int_PRCI,22.021,22.058,18.192,,3.83,2.409313202,1.42,0.373635225,3,rare,exponential
rare_0.2_3,Int_PRCI,22.222,22.058,18.192,,4.03,2.409313202,1.621,0.325201536,3,rare,exponential
rare_0.2_3,Int_PRCI,21.931,22.058,18.192,,3.739,2.409313202,1.33,0.397732505,3,rare,exponential
rare_0.5_3,rpoA,23.929,23.877,23.877,,0.052,0,0.052,0.964460435,3,rare,stationary
rare_0.5_3,rpoA,23.823,23.877,23.877,,-0.054,0,-0.054,1.037927170174130,3,rare,stationary
rare_0.5_3,rpoA,23.878,23.877,23.877,,0.002,0,0.002,0.998958749,3,rare,stationary
rare_0.5_3,malG,24.896,25.028,23.877,,1.02,3.197015762,-2.177,4.522911653068830,3,rare,stationary
rare_0.5_3,malG,25.26,25.028,23.877,,1.383,3.197015762,-1.814,3.516188775909550,3,rare,stationary
rare_0.5_3,malG,24.927,25.028,23.877,,1.05,3.197015762,-2.147,4.428781168773780,3,rare,stationary
rare_0.5_3,Int_PRCI,24.295,24.186,23.877,,0.419,2.409313202,-1.991,3.974144844291130,3,rare,stationary
rare_0.5_3,Int_PRCI,24.104,24.186,23.877,,0.227,2.409313202,-2.182,4.538929455821040,3,rare,stationary
rare_0.5_3,Int_PRCI,24.158,24.186,23.877,,0.282,2.409313202,-2.128,4.370504996777120,3,rare,stationary
domi_0.2_3,rpoA,22.664,22.586,22.586,,0.078,0,0.078,0.947050068,3,domi,exponential
domi_0.2_3,rpoA,22.587,22.586,22.586,,0.002,0,0.002,0.998825367,3,domi,exponential
domi_0.2_3,rpoA,22.505,22.586,22.586,,-0.08,0,-0.08,1.057152148884240,3,domi,exponential
domi_0.2_3,malG,23.835,24.135,22.586,,1.25,3.197015762,-1.947,3.856699429647840,3,domi,exponential
domi_0.2_3,malG,23.914,24.135,22.586,,1.329,3.197015762,-1.868,3.651024605454740,3,domi,exponential
domi_0.2_3,malG,24.654,24.135,22.586,,2.069,3.197015762,-1.128,2.186081817094750,3,domi,exponential
domi_0.2_3,Int_PRCI,24.585,24.671,22.586,,2,2.409313202,-0.409,1.328222006837070,3,domi,exponential
domi_0.2_3,Int_PRCI,24.625,24.671,22.586,,2.04,2.409313202,-0.369,1.291789871946950,3,domi,exponential
domi_0.2_3,Int_PRCI,24.803,24.671,22.586,,2.218,2.409313202,-0.191,1.141919984486950,3,domi,exponential
domi_0.5_3,rpoA,25.164,25.082,25.082,,0.081,0,0.081,0.945153831,3,domi,stationary
domi_0.5_3,rpoA,25.041,25.082,25.082,,-0.042,0,-0.042,1.029229662507070,3,domi,stationary
domi_0.5_3,rpoA,25.043,25.082,25.082,,-0.04,0,-0.04,1.027982641001260,3,domi,stationary
domi_0.5_3,malG,25.652,25.495,25.082,,0.57,3.197015762,-2.627,6.177028857796220,3,domi,stationary
domi_0.5_3,malG,25.385,25.495,25.082,,0.302,3.197015762,-2.895,7.436544149263210,3,domi,stationary
domi_0.5_3,malG,25.447,25.495,25.082,,0.365,3.197015762,-2.832,7.120816591287880,3,domi,stationary
domi_0.5_3,Int_PRCI,25.095,25.058,25.082,,0.013,2.409313202,-2.397,5.265867771869200,3,domi,stationary
domi_0.5_3,Int_PRCI,25.071,25.058,25.082,,-0.011,2.409313202,-2.421,5.354697134490100,3,domi,stationary
domi_0.5_3,Int_PRCI,25.008,25.058,25.082,,-0.074,2.409313202,-2.484,5.592575695993000,3,domi,stationary
