Sample Name,Target Name,CT,Ct Mean,rpoA_average_CT_values,Ctmean- rpOA_average_CT,geneof interest_CT_rpoA,Normalization,,Fold change,Replicate,Variant,growth_phase
rare_0.2_1,rpoA,23.409,23.358,23.358,0,0.051,0,0.051,0.965070119,1,rare,exponential
rare_0.2_1,rpoA,23.482,23.358,23.358,0,0.124,0,0.124,0.917667437,1,rare,exponential
rare_0.2_1,rpoA,23.183,23.358,23.358,0,-0.175,0,-0.175,1.129159351764430,1,rare,exponential
rare_0.2_1,malG,26.83,26.555,23.358,3.197,3.472,3.197015762,0.275,0.826513912,1,rare,exponential
rare_0.2_1,malG,26.449,26.555,23.358,3.197,3.091,3.197015762,-0.106,1.076366016155970,1,rare,exponential
rare_0.2_1,malG,26.386,26.555,23.358,3.197,3.028,3.197015762,-0.169,1.124059448617840,1,rare,exponential
rare_0.2_1,Int_PRCI,25.786,25.768,23.358,2.409,2.428,2.409313202,0.019,0.986952391,1,rare,exponential
rare_0.2_1,Int_PRCI,25.636,25.768,23.358,2.409,2.278,2.409313202,-0.132,1.095635010816790,1,rare,exponential
rare_0.2_1,Int_PRCI,25.88,25.768,23.358,2.409,2.522,2.409313202,0.113,0.92477764,1,rare,exponential
rare_0.5_1,rpoA,22.422,22.261,22.261,,0.16,0,0.16,0.894809833,1,rare,stationary
rare_0.5_1,rpoA,22.097,22.261,22.261,,-0.164,0,-0.164,1.120249642992010,1,rare,stationary
rare_0.5_1,rpoA,22.265,22.261,22.261,,0.003,0,0.003,0.997594081,1,rare,stationary
rare_0.5_1,malG,23.519,23.571,22.261,,1.258,3.197015762,-1.939,3.835632685452240,1,rare,stationary
rare_0.5_1,malG,23.434,23.571,22.261,,1.173,3.197015762,-2.024,4.066652899553500,1,rare,stationary
rare_0.5_1,malG,23.761,23.571,22.261,,1.499,3.197015762,-1.698,3.243607853978540,1,rare,stationary
rare_0.5_1,Int_PRCI,21.662,21.537,22.261,,-0.599,2.409313202,-3.008,8.046300268044440,1,rare,stationary
rare_0.5_1,Int_PRCI,21.383,21.537,22.261,,-0.878,2.409313202,-3.287,9.761595727849560,1,rare,stationary
rare_0.5_1,Int_PRCI,21.564,21.537,22.261,,-0.697,2.409313202,-3.107,8.613045865401850,1,rare,stationary
domi_0.2_1,rpoA,21.864,21.87,21.87,,-0.007,0,-0.007,1.004633994321710,1,domi,exponential
domi_0.2_1,rpoA,21.915,21.87,21.87,,0.044,0,0.044,0.969851213,1,domi,exponential
domi_0.2_1,rpoA,21.833,21.87,21.87,,-0.037,0,-0.037,1.026328627727000,1,domi,exponential
domi_0.2_1,malG,26.236,26.241,21.87,,4.366,3.197015762,1.169,0.444876908,1,domi,exponential
domi_0.2_1,malG,26.118,26.241,21.87,,4.247,3.197015762,1.05,0.482847116,1,domi,exponential
domi_0.2_1,malG,26.37,26.241,21.87,,4.5,3.197015762,1.303,0.405314851,1,domi,exponential
domi_0.2_1,Int_PRCI,24.964,24.98,21.87,,3.094,2.409313202,0.685,0.622186997,1,domi,exponential
domi_0.2_1,Int_PRCI,25.005,24.98,21.87,,3.135,2.409313202,0.725,0.604842533,1,domi,exponential
domi_0.2_1,Int_PRCI,24.969,24.98,21.87,,3.099,2.409313202,0.69,0.619999507,1,domi,exponential
domi_0.5_1,rpoA,26.731,26.62,26.62,,0.11,0,0.11,0.926342699,1,domi,stationary
domi_0.5_1,rpoA,26.54,26.62,26.62,,-0.081,0,-0.081,1.057565929109040,1,domi,stationary
domi_0.5_1,rpoA,26.591,26.62,26.62,,-0.03,0,-0.03,1.020754822177460,1,domi,stationary
domi_0.5_1,malG,26.392,26.409,26.62,,-0.228,3.197015762,-3.425,10.743073802618700,1,domi,stationary
domi_0.5_1,malG,26.409,26.409,26.62,,-0.211,3.197015762,-3.408,10.614740018425500,1,domi,stationary
domi_0.5_1,malG,26.426,26.409,26.62,,-0.194,3.197015762,-3.391,10.491975005353000,1,domi,stationary
domi_0.5_1,Int_PRCI,26.708,26.901,26.62,,0.088,2.409313202,-2.321,4.997898100666810,1,domi,stationary
domi_0.5_1,Int_PRCI,26.956,26.901,26.62,,0.336,2.409313202,-2.074,4.209198234906280,1,domi,stationary
domi_0.5_1,Int_PRCI,27.039,26.901,26.62,,0.419,2.409313202,-1.991,3.974270944953150,1,domi,stationary
rare_0.2_2,rpoA,22.758,22.73,22.73,,0.028,0,0.028,0.980943777,2,rare,exponential
rare_0.2_2,rpoA,22.723,22.73,22.73,,-0.007,0,-0.007,1.004923583609280,2,rare,exponential
rare_0.2_2,rpoA,22.709,22.73,22.73,,-0.021,0,-0.021,1.014429095308700,2,rare,exponential
rare_0.2_2,malG,26.543,26.707,22.73,,3.814,3.197015762,0.617,0.652220815,2,rare,exponential
rare_0.2_2,malG,26.578,26.707,22.73,,3.848,3.197015762,0.651,0.636885457,2,rare,exponential
rare_0.2_2,malG,26.998,26.707,22.73,,4.269,3.197015762,1.072,0.475820616,2,rare,exponential
rare_0.2_2,Int_PRCI,25.343,25.377,22.73,,2.613,2.409313202,0.204,0.868395928,2,rare,exponential
rare_0.2_2,Int_PRCI,25.531,25.377,22.73,,2.801,2.409313202,0.391,0.762387728,2,rare,exponential
rare_0.2_2,Int_PRCI,25.258,25.377,22.73,,2.528,2.409313202,0.118,0.921204717,2,rare,exponential
rare_0.5_2,rpoA,22.36,22.375,22.375,,-0.015,0,-0.015,1.010219936400290,2,rare,stationary
rare_0.5_2,rpoA,22.326,22.375,22.375,,-0.049,0,-0.049,1.034306732764690,2,rare,stationary
rare_0.5_2,rpoA,22.438,22.375,22.375,,0.063,0,0.063,0.957047658,2,rare,stationary
rare_0.5_2,malG,26.25,26.088,22.375,,3.875,3.197015762,0.678,0.625071035,2,rare,stationary
rare_0.5_2,malG,26.026,26.088,22.375,,3.651,3.197015762,0.454,0.730064989,2,rare,stationary
