Sample.Name,Target.Name,ADbyAB
7Rare_same_1_colony,rare_1-1,0.025111484
7Rare_same_1_colony,rare_1-1,0.031168522
7Rare_same_1_colony,rare_1-1,0.027366492
7Rare_same_1_colony,rare_1-2,0.022323718
7Rare_same_1_colony,rare_1-2,0.02129689
7Rare_same_1_colony,rare_1-2,0.019296734
7Rare_same_2_colony,rare_2-1,0.027710962
7Rare_same_2_colony,rare_2-1,0.027288885
7Rare_same_2_colony,rare_2-1,0.028258294
7Rare_same_2_colony,rare_2-2,0.022824947
7Rare_same_2_colony,rare_2-2,0.024343526
7Rare_same_2_colony,rare_2-2,0.021737821
7Rare_same_3_colony,rare_3-1,0.023673659
7Rare_same_3_colony,rare_3-1,0.02464493
7Rare_same_3_colony,rare_3-1,0.024310908
7Rare_same_3_colony,rare_3-2,0.022497647
7Rare_same_3_colony,rare_3-2,0.016045721
7Rare_same_3_colony,rare_3-2,0.015588416
7Domi_same_1_colony,domi_1-1,0.016384541
7Domi_same_1_colony,domi_1-1,0.017214735
7Domi_same_1_colony,domi_1-1,0.016842979
7Domi_same_1_colony,domi_1-2,0.01245516
7Domi_same_1_colony,domi_1-2,0.011991361
7Domi_same_1_colony,domi_1-2,0.011415509
7Domi_same_2_colony,domi_2-1,0.019864982
7Domi_same_2_colony,domi_2-1,0.018687366
7Domi_same_2_colony,domi_2-1,0.019987302
7Domi_same_2_colony,domi_2-2,0.013104483
7Domi_same_2_colony,domi_2-2,0.016017238
7Domi_same_2_colony,domi_2-2,0.01598039
7Domi_same_3_colony,domi_3-1,0.02095198
7Domi_same_3_colony,domi_3-1,0.020067149
7Domi_same_3_colony,domi_3-1,0.020736809
7Domi_same_3_colony,domi_3-2,0.016374034
7Domi_same_3_colony,domi_3-2,0.018085203
7Domi_same_3_colony,domi_3-2,0.017756412
