Sample,gene_name,Locus,Scaled reads per base,tpm,Genotype,Timepoint
ERS3382227,pgk_3,IONPJBJN_00004,6.83419508801739,1.28404054771029,tvr_domi,Pre-CSP
ERS3382228,pgk_3,IONPJBJN_00004,0,0,tvr_domi,10 min post-CSP
ERS3382229,pgk_3,IONPJBJN_00004,0,0,tvr_domi,20 min post-CSP
ERS3382230,pgk_3,IONPJBJN_00004,0,0,tvr_rare,Pre-CSP
ERS3382231,pgk_3,IONPJBJN_00004,0,0,tvr_rare,10 min post-CSP
ERS3382232,pgk_3,IONPJBJN_00004,0,0,tvr_rare,20 min post-CSP
ERS3382233,pgk_3,IONPJBJN_00004,2.77029872231633,0.525729524038302,tvr_domi,Pre-CSP
ERS3382234,pgk_3,IONPJBJN_00004,1.65243696676101,0.302331364438448,tvr_domi,10 min post-CSP
ERS3382235,pgk_3,IONPJBJN_00004,4.25772004632894,0.843108338355007,tvr_domi,20 min post-CSP
ERS3382236,pgk_3,IONPJBJN_00004,1.0237109857894,0.20382384270308,tvr_rare,Pre-CSP
ERS3382237,pgk_3,IONPJBJN_00004,0,0,tvr_rare,10 min post-CSP
ERS3382238,pgk_3,IONPJBJN_00004,0,0,tvr_rare,20 min post-CSP
ERS3382239,pgk_3,IONPJBJN_00004,4.27636118814561,0.819453608064565,tvr_domi,Pre-CSP
ERS3382240,pgk_3,IONPJBJN_00004,0.79722703725209,0.152014503608414,tvr_domi,10 min post-CSP
ERS3382241,pgk_3,IONPJBJN_00004,0.780969028355018,0.146038353689546,tvr_domi,20 min post-CSP
ERS3382242,pgk_3,IONPJBJN_00004,6.25085412324647,1.1898251326297,tvr_rare,Pre-CSP
ERS3382243,pgk_3,IONPJBJN_00004,1.31119104968903,0.243014817057189,tvr_rare,10 min post-CSP
ERS3382244,pgk_3,IONPJBJN_00004,4.59327413927307,0.824275976237925,tvr_rare,20 min post-CSP
ERS3382227,pgk_4,IONPJBJN_00005,1.39218521055998,0.464626907301513,tvr_domi,Pre-CSP
ERS3382228,pgk_4,IONPJBJN_00005,0,0,tvr_domi,10 min post-CSP
ERS3382229,pgk_4,IONPJBJN_00005,0,0,tvr_domi,20 min post-CSP
ERS3382230,pgk_4,IONPJBJN_00005,1.15571787341412,0.43159664082966,tvr_rare,Pre-CSP
ERS3382231,pgk_4,IONPJBJN_00005,0,0,tvr_rare,10 min post-CSP
ERS3382232,pgk_4,IONPJBJN_00005,0,0,tvr_rare,20 min post-CSP
ERS3382233,pgk_4,IONPJBJN_00005,0,0,tvr_domi,Pre-CSP
ERS3382234,pgk_4,IONPJBJN_00005,0,0,tvr_domi,10 min post-CSP
ERS3382235,pgk_4,IONPJBJN_00005,2.40406221554417,0.89180679402137,tvr_domi,20 min post-CSP
ERS3382236,pgk_4,IONPJBJN_00005,2.56100927248014,0.915659548304039,tvr_rare,Pre-CSP
ERS3382237,pgk_4,IONPJBJN_00005,0,0,tvr_rare,10 min post-CSP
ERS3382238,pgk_4,IONPJBJN_00005,0,0,tvr_rare,20 min post-CSP
ERS3382239,pgk_4,IONPJBJN_00005,0.881441246805781,0.310011446270307,tvr_domi,Pre-CSP
ERS3382240,pgk_4,IONPJBJN_00005,0,0,tvr_domi,10 min post-CSP
ERS3382241,pgk_4,IONPJBJN_00005,0,0,tvr_domi,20 min post-CSP
ERS3382242,pgk_4,IONPJBJN_00005,0,0,tvr_rare,Pre-CSP
ERS3382243,pgk_4,IONPJBJN_00005,0,0,tvr_rare,10 min post-CSP
ERS3382244,pgk_4,IONPJBJN_00005,0,0,tvr_rare,20 min post-CSP
ERS3382227,NA,IONPJBJN_00006,0.0116709861778438,0.00111086467890024,tvr_domi,Pre-CSP
ERS3382228,NA,IONPJBJN_00006,0.0221792017895452,0.00215622819470872,tvr_domi,10 min post-CSP
ERS3382229,NA,IONPJBJN_00006,0.0120322112700922,0.00119006121796644,tvr_domi,20 min post-CSP
ERS3382230,NA,IONPJBJN_00006,0.00904962677472306,0.000903079932575591,tvr_rare,Pre-CSP
ERS3382231,NA,IONPJBJN_00006,681.727843140065,64.5901043878443,tvr_rare,10 min post-CSP
ERS3382232,NA,IONPJBJN_00006,143.853612147005,13.9473674919204,tvr_rare,20 min post-CSP
ERS3382233,NA,IONPJBJN_00006,142.593104781054,13.5432869218579,tvr_domi,Pre-CSP
ERS3382234,NA,IONPJBJN_00006,301.29915844711,28.3033231175008,tvr_domi,10 min post-CSP
ERS3382235,NA,IONPJBJN_00006,77.7396063707244,7.58499189887657,tvr_domi,20 min post-CSP
ERS3382236,NA,IONPJBJN_00006,0.0071488950894834,0.00070197678037035,tvr_rare,Pre-CSP
ERS3382237,NA,IONPJBJN_00006,537.894677670868,50.8035811970072,tvr_rare,10 min post-CSP
ERS3382238,NA,IONPJBJN_00006,150.850217985491,14.3584396311713,tvr_rare,20 min post-CSP
ERS3382239,NA,IONPJBJN_00006,153.302342467294,14.6389563622781,tvr_domi,Pre-CSP
ERS3382240,NA,IONPJBJN_00006,41.0681501694956,3.90453689582137,tvr_domi,10 min post-CSP
ERS3382241,NA,IONPJBJN_00006,297.889252339694,28.0309859006283,tvr_domi,20 min post-CSP
ERS3382242,NA,IONPJBJN_00006,0.0100975065763601,0.000970733271951091,tvr_rare,Pre-CSP
ERS3382243,NA,IONPJBJN_00006,367.151875560063,34.6356897672017,tvr_rare,10 min post-CSP
ERS3382244,NA,IONPJBJN_00006,170.185591212354,15.8050180454746,tvr_rare,20 min post-CSP
ERS3382227,glnR_1,IONPJBJN_00007,6652.15182034142,738.871475041614,tvr_domi,Pre-CSP
ERS3382228,glnR_1,IONPJBJN_00007,8219.49650047382,937.16245136934,tvr_domi,10 min post-CSP
ERS3382229,glnR_1,IONPJBJN_00007,6681.78220316908,778.791040299766,tvr_domi,20 min post-CSP
ERS3382230,glnR_1,IONPJBJN_00007,2830.57908968926,332.708670572903,tvr_rare,Pre-CSP
ERS3382231,glnR_1,IONPJBJN_00007,1716.67836739434,190.603480142291,tvr_rare,10 min post-CSP
ERS3382232,glnR_1,IONPJBJN_00007,1792.96152656239,203.836972304888,tvr_rare,20 min post-CSP
ERS3382233,glnR_1,IONPJBJN_00007,4899.33257139169,544.50207727932,tvr_domi,Pre-CSP
ERS3382234,glnR_1,IONPJBJN_00007,3377.96556897055,368.27936496527,tvr_domi,10 min post-CSP
ERS3382235,glnR_1,IONPJBJN_00007,4797.5648654502,550.702053721396,tvr_domi,20 min post-CSP
ERS3382236,glnR_1,IONPJBJN_00007,2728.52765066455,314.981870835986,tvr_rare,Pre-CSP
ERS3382237,glnR_1,IONPJBJN_00007,1586.86103418564,174.670097055222,tvr_rare,10 min post-CSP
ERS3382238,glnR_1,IONPJBJN_00007,2063.92700091704,229.510420828171,tvr_rare,20 min post-CSP
ERS3382239,glnR_1,IONPJBJN_00007,3162.77185310178,353.201224190465,tvr_domi,Pre-CSP
ERS3382240,glnR_1,IONPJBJN_00007,4199.94808018854,468.576833668063,tvr_domi,10 min post-CSP
ERS3382241,glnR_1,IONPJBJN_00007,3367.27793165341,370.913399363143,tvr_domi,20 min post-CSP
ERS3382242,glnR_1,IONPJBJN_00007,3585.39110771535,402.818558675584,tvr_rare,Pre-CSP
ERS3382243,glnR_1,IONPJBJN_00007,1987.05039069332,218.862346802953,tvr_rare,10 min post-CSP
ERS3382244,glnR_1,IONPJBJN_00007,2391.62816328012,258.952061988805,tvr_rare,20 min post-CSP
ERS3382227,glnA_1,IONPJBJN_00008,21895.2068086996,350.190850805732,tvr_domi,Pre-CSP
ERS3382228,glnA_1,IONPJBJN_00008,32634.8531348518,510.977693515811,tvr_domi,10 min post-CSP
ERS3382229,glnA_1,IONPJBJN_00008,27514.1807460573,424.123523504049,tvr_domi,20 min post-CSP
ERS3382230,glnA_1,IONPJBJN_00008,12693.4841671917,195.807436922979,tvr_rare,Pre-CSP
ERS3382231,glnA_1,IONPJBJN_00008,7667.5327807047,121.433929900062,tvr_rare,10 min post-CSP
ERS3382232,glnA_1,IONPJBJN_00008,6965.15887934868,110.310711245679,tvr_rare,20 min post-CSP
ERS3382233,glnA_1,IONPJBJN_00008,14523.3019614291,230.305700620954,tvr_domi,Pre-CSP
ERS3382234,glnA_1,IONPJBJN_00008,14688.0722839323,236.917128516423,tvr_domi,10 min post-CSP
ERS3382235,glnA_1,IONPJBJN_00008,19474.0679073765,302.306066871052,tvr_domi,20 min post-CSP
ERS3382236,glnA_1,IONPJBJN_00008,14195.8970706165,219.582491696991,tvr_rare,Pre-CSP
ERS3382237,glnA_1,IONPJBJN_00008,8253.09619735444,131.394856730626,tvr_rare,10 min post-CSP
ERS3382238,glnA_1,IONPJBJN_00008,9206.63444131341,146.872562210693,tvr_rare,20 min post-CSP
ERS3382239,glnA_1,IONPJBJN_00008,14097.6502978554,222.405087488441,tvr_domi,Pre-CSP
ERS3382240,glnA_1,IONPJBJN_00008,18131.9819931527,287.963930881636,tvr_domi,10 min post-CSP
ERS3382241,glnA_1,IONPJBJN_00008,14357.7295457256,230.042156490163,tvr_domi,20 min post-CSP
ERS3382242,glnA_1,IONPJBJN_00008,15632.7572884074,246.093000550027,tvr_rare,Pre-CSP
ERS3382243,glnA_1,IONPJBJN_00008,10000.0164678539,159.969352269599,tvr_rare,10 min post-CSP
ERS3382244,glnA_1,IONPJBJN_00008,10711.1678231376,175.183513115603,tvr_rare,20 min post-CSP
ERS3382227,NA,IONPJBJN_00009,507.336801260831,321.116020656203,tvr_domi,Pre-CSP
ERS3382228,NA,IONPJBJN_00009,738.57342630182,506.340548348004,tvr_domi,10 min post-CSP
ERS3382229,NA,IONPJBJN_00009,676.588504134536,455.350845173049,tvr_domi,20 min post-CSP
ERS3382230,NA,IONPJBJN_00009,402.578210321052,284.273665638678,tvr_rare,Pre-CSP
ERS3382231,NA,IONPJBJN_00009,334.863754263156,227.935020659634,tvr_rare,10 min post-CSP
ERS3382232,NA,IONPJBJN_00009,313.040848510053,208.032085047144,tvr_rare,20 min post-CSP
