Time,Media,Media,Media,CSP,CSP,CSP,CSPX2,CSPX2,CSPX2,CSPX4,CSPX4,CSPX4
00:00:00,0.12,0.126,0.129,0.118,0.121,0.124,0.128,0.124,0.125,0.125,0.124,0.121
00:30:00,0.149,0.149,0.151,0.144,0.144,0.149,0.149,0.146,0.151,0.145,0.146,0.143
01:00:00,0.191,0.193,0.195,0.173,0.177,0.18,0.183,0.18,0.181,0.178,0.18,0.179
01:30:00,0.272,0.272,0.28,0.241,0.245,0.245,0.249,0.239,0.244,0.237,0.239,0.245
02:00:00,0.37,0.367,0.377,0.33,0.325,0.322,0.331,0.312,0.316,0.304,0.324,0.322
02:30:00,0.439,0.445,0.451,0.408,0.404,0.4,0.415,0.393,0.404,0.392,0.405,0.402
03:00:00,0.446,0.453,0.46,0.428,0.427,0.437,0.452,0.426,0.422,0.42,0.442,0.431
03:30:00,0.439,0.45,0.473,0.428,0.432,0.438,0.452,0.424,0.43,0.436,0.446,0.439
04:00:00,0.439,0.453,0.496,0.411,0.435,0.444,0.452,0.427,0.436,0.439,0.441,0.431
04:30:00,0.441,0.46,0.498,0.418,0.432,0.448,0.453,0.431,0.439,0.439,0.435,0.427
05:00:00,0.442,0.48,0.496,0.428,0.437,0.476,0.467,0.443,0.452,0.437,0.434,0.423
05:30:00,0.462,0.503,0.501,0.443,0.462,0.505,0.5,0.482,0.487,0.476,0.437,0.422
06:00:00,0.474,0.521,0.504,0.457,0.486,0.512,0.522,0.509,0.512,0.504,0.461,0.434
06:30:00,0.492,0.531,0.506,0.487,0.51,0.518,0.523,0.511,0.525,0.523,0.484,0.459
07:00:00,0.496,0.529,0.51,0.487,0.525,0.519,0.525,0.513,0.524,0.528,0.5,0.483
07:30:00,0.502,0.53,0.506,0.5,0.53,0.513,0.524,0.515,0.524,0.531,0.515,0.493
08:00:00,0.502,0.534,0.51,0.512,0.534,0.517,0.525,0.517,0.526,0.533,0.523,0.51
08:30:00,0.503,0.533,0.509,0.492,0.532,0.52,0.526,0.518,0.526,0.532,0.522,0.515
09:00:00,0.504,0.531,0.506,0.484,0.537,0.526,0.525,0.517,0.527,0.53,0.527,0.519
09:30:00,0.51,0.533,0.504,0.491,0.538,0.526,0.528,0.519,0.53,0.532,0.522,0.52
10:00:00,0.501,0.531,0.5,0.488,0.53,0.532,0.528,0.519,0.531,0.533,0.524,0.52
10:30:00,0.501,0.531,0.499,0.485,0.532,0.53,0.528,0.518,0.532,0.531,0.524,0.52
11:00:00,0.491,0.529,0.495,0.488,0.532,0.53,0.53,0.52,0.531,0.529,0.521,0.515
11:30:00,0.5,0.529,0.489,0.474,0.53,0.529,0.528,0.517,0.527,0.527,0.523,0.514
12:00:00,0.502,0.524,0.489,0.465,0.531,0.53,0.527,0.515,0.525,0.526,0.519,0.513
12:30:00,0.494,0.524,0.481,0.468,0.528,0.53,0.523,0.514,0.524,0.52,0.517,0.509
13:00:00,0.494,0.521,0.483,0.474,0.526,0.524,0.518,0.509,0.521,0.514,0.513,0.51
13:30:00,0.488,0.52,0.478,0.474,0.527,0.519,0.516,0.503,0.514,0.509,0.51,0.511
14:00:00,0.487,0.513,0.475,0.48,0.526,0.506,0.503,0.493,0.507,0.498,0.506,0.511
14:30:00,0.491,0.502,0.467,0.478,0.527,0.495,0.493,0.482,0.497,0.486,0.501,0.514
15:00:00,0.493,0.498,0.461,0.475,0.524,0.479,0.479,0.47,0.482,0.477,0.491,0.51
15:30:00,0.491,0.487,0.453,0.483,0.51,0.467,0.465,0.453,0.466,0.462,0.475,0.498
16:00:00,0.495,0.475,0.442,0.483,0.485,0.447,0.447,0.433,0.45,0.44,0.463,0.483
16:30:00,0.495,0.458,0.433,0.477,0.464,0.428,0.427,0.412,0.427,0.421,0.446,0.46
17:00:00,0.495,0.441,0.421,0.442,0.439,0.404,0.403,0.386,0.399,0.393,0.419,0.434
17:30:00,0.497,0.417,0.405,0.429,0.412,0.38,0.382,0.362,0.375,0.369,0.392,0.406
18:00:00,0.472,0.396,0.39,0.391,0.386,0.361,0.358,0.343,0.351,0.351,0.367,0.379
18:30:00,0.435,0.368,0.372,0.366,0.359,0.338,0.337,0.321,0.329,0.331,0.345,0.357
19:00:00,0.405,0.347,0.357,0.344,0.335,0.32,0.319,0.306,0.313,0.318,0.327,0.336
19:30:00,0.363,0.326,0.341,0.328,0.319,0.304,0.304,0.292,0.299,0.304,0.312,0.323
20:00:00,0.337,0.305,0.324,0.307,0.301,0.291,0.293,0.278,0.287,0.291,0.299,0.308
20:30:00,0.323,0.29,0.308,0.295,0.287,0.277,0.279,0.268,0.273,0.282,0.287,0.297
