Time,Media,Media,Media,MMC0,MMC0,MMC0,MMCX1,MMCX1,MMCX1,MMCX2,MMCX2,MMCX2
00:00:00,0.132,0.138,0.133,0.138,0.122,0.139,0.134,0.134,0.132,0.138,0.146,0.141
00:30:00,0.165,0.172,0.165,0.17,0.158,0.174,0.165,0.166,0.167,0.166,0.175,0.17
01:00:00,0.22,0.238,0.23,0.24,0.226,0.247,0.235,0.238,0.236,0.234,0.244,0.238
01:30:00,0.305,0.34,0.327,0.345,0.335,0.354,0.337,0.348,0.341,0.34,0.354,0.337
02:00:00,0.411,0.432,0.423,0.439,0.406,0.446,0.428,0.447,0.432,0.432,0.455,0.454
02:30:00,0.435,0.482,0.465,0.484,0.451,0.498,0.482,0.489,0.483,0.493,0.523,0.504
03:00:00,0.448,0.485,0.479,0.498,0.461,0.504,0.481,0.487,0.486,0.493,0.522,0.507
03:30:00,0.45,0.5,0.49,0.505,0.47,0.515,0.49,0.493,0.494,0.496,0.514,0.502
04:00:00,0.437,0.51,0.493,0.51,0.479,0.523,0.492,0.495,0.492,0.492,0.511,0.506
04:30:00,0.435,0.522,0.5,0.519,0.484,0.524,0.496,0.499,0.491,0.493,0.511,0.503
05:00:00,0.445,0.525,0.506,0.52,0.488,0.527,0.503,0.501,0.496,0.49,0.509,0.51
05:30:00,0.46,0.524,0.509,0.524,0.492,0.529,0.506,0.507,0.499,0.482,0.515,0.519
06:00:00,0.466,0.524,0.513,0.528,0.494,0.537,0.51,0.51,0.497,0.491,0.506,0.516
06:30:00,0.475,0.526,0.513,0.527,0.494,0.534,0.512,0.512,0.498,0.486,0.508,0.526
07:00:00,0.499,0.532,0.518,0.532,0.5,0.539,0.515,0.513,0.495,0.488,0.497,0.52
07:30:00,0.5,0.525,0.513,0.526,0.494,0.536,0.511,0.512,0.49,0.474,0.497,0.526
08:00:00,0.503,0.528,0.515,0.527,0.497,0.537,0.51,0.509,0.487,0.476,0.497,0.507
08:30:00,0.494,0.527,0.507,0.524,0.491,0.534,0.511,0.508,0.481,0.47,0.492,0.52
09:00:00,0.501,0.533,0.511,0.526,0.492,0.535,0.512,0.51,0.486,0.472,0.493,0.525
09:30:00,0.504,0.532,0.507,0.523,0.491,0.535,0.51,0.511,0.478,0.469,0.485,0.52
10:00:00,0.51,0.527,0.502,0.515,0.482,0.527,0.503,0.5,0.464,0.463,0.486,0.513
10:30:00,0.516,0.522,0.499,0.51,0.479,0.523,0.499,0.498,0.46,0.46,0.482,0.51
11:00:00,0.505,0.516,0.494,0.501,0.473,0.516,0.49,0.49,0.448,0.453,0.477,0.507
11:30:00,0.514,0.513,0.49,0.499,0.469,0.512,0.485,0.486,0.445,0.447,0.477,0.499
12:00:00,0.505,0.516,0.488,0.493,0.466,0.509,0.484,0.477,0.445,0.441,0.475,0.498
12:30:00,0.506,0.51,0.482,0.486,0.459,0.504,0.48,0.47,0.44,0.437,0.472,0.486
13:00:00,0.501,0.509,0.481,0.483,0.457,0.499,0.473,0.46,0.435,0.433,0.468,0.485
13:30:00,0.515,0.51,0.476,0.474,0.447,0.494,0.466,0.454,0.425,0.427,0.46,0.482
14:00:00,0.524,0.505,0.468,0.469,0.448,0.487,0.463,0.451,0.42,0.419,0.457,0.469
14:30:00,0.52,0.493,0.464,0.462,0.439,0.481,0.456,0.443,0.41,0.415,0.452,0.472
15:00:00,0.52,0.488,0.459,0.453,0.43,0.471,0.448,0.433,0.4,0.406,0.441,0.457
15:30:00,0.51,0.478,0.447,0.443,0.42,0.461,0.437,0.423,0.396,0.398,0.436,0.442
16:00:00,0.509,0.459,0.44,0.435,0.411,0.454,0.431,0.418,0.387,0.387,0.423,0.423
16:30:00,0.495,0.444,0.427,0.422,0.4,0.445,0.416,0.407,0.374,0.378,0.416,0.412
17:00:00,0.479,0.431,0.416,0.412,0.389,0.433,0.404,0.398,0.365,0.364,0.399,0.399
17:30:00,0.457,0.417,0.399,0.401,0.379,0.42,0.391,0.382,0.358,0.359,0.391,0.387
18:00:00,0.419,0.396,0.386,0.384,0.362,0.408,0.379,0.374,0.347,0.344,0.376,0.368
18:30:00,0.389,0.378,0.366,0.37,0.349,0.391,0.368,0.361,0.333,0.337,0.363,0.35
19:00:00,0.355,0.361,0.347,0.358,0.335,0.379,0.355,0.351,0.321,0.323,0.353,0.337
19:30:00,0.322,0.345,0.328,0.343,0.316,0.364,0.341,0.337,0.308,0.311,0.337,0.322
20:00:00,0.298,0.329,0.315,0.328,0.304,0.349,0.327,0.322,0.295,0.298,0.324,0.312
20:30:00,0.282,0.315,0.3,0.315,0.29,0.335,0.316,0.306,0.284,0.285,0.309,0.3
