Time,Media,Media,Media,MMC,MMC,MMC,CSP1,CSP1,CSP1,H2O2,H2O2,H2O2
00:00:00,0.111,0.114,0.114,0.118,0.115,0.115,0.12,0.118,0.115,0.141,0.141,0.129
00:30:00,0.118,0.119,0.119,0.126,0.123,0.122,0.126,0.125,0.12,0.12,0.122,0.13
01:00:00,0.121,0.121,0.123,0.125,0.125,0.122,0.124,0.125,0.118,0.123,0.123,0.133
01:30:00,0.136,0.135,0.135,0.139,0.135,0.135,0.134,0.13,0.127,0.134,0.138,0.144
02:00:00,0.174,0.167,0.17,0.162,0.156,0.156,0.16,0.157,0.152,0.166,0.17,0.184
02:30:00,0.25,0.233,0.238,0.195,0.189,0.185,0.218,0.21,0.208,0.244,0.243,0.258
03:00:00,0.372,0.351,0.356,0.244,0.227,0.231,0.332,0.319,0.306,0.359,0.359,0.381
03:30:00,0.507,0.469,0.484,0.304,0.285,0.283,0.474,0.462,0.438,0.508,0.5,0.512
04:00:00,0.543,0.533,0.551,0.371,0.341,0.335,0.547,0.537,0.523,0.541,0.536,0.548
04:30:00,0.578,0.571,0.583,0.424,0.394,0.402,0.56,0.555,0.539,0.571,0.559,0.577
05:00:00,0.614,0.621,0.619,0.464,0.453,0.436,0.556,0.568,0.545,0.585,0.579,0.59
05:30:00,0.651,0.649,0.653,0.469,0.429,0.441,0.587,0.587,0.569,0.604,0.608,0.617
06:00:00,0.672,0.663,0.671,0.478,0.449,0.451,0.618,0.615,0.598,0.631,0.652,0.651
06:30:00,0.691,0.686,0.681,0.504,0.453,0.452,0.62,0.621,0.602,0.627,0.663,0.651
07:00:00,0.697,0.693,0.688,0.509,0.468,0.491,0.628,0.624,0.603,0.635,0.67,0.64
07:30:00,0.71,0.697,0.685,0.512,0.477,0.486,0.639,0.626,0.618,0.653,0.689,0.661
08:00:00,0.712,0.69,0.694,0.518,0.472,0.48,0.639,0.63,0.624,0.637,0.68,0.657
08:30:00,0.722,0.684,0.681,0.517,0.476,0.502,0.641,0.631,0.612,0.638,0.685,0.671
09:00:00,0.727,0.68,0.677,0.516,0.475,0.486,0.63,0.626,0.611,0.64,0.675,0.663
09:30:00,0.713,0.674,0.674,0.515,0.455,0.489,0.637,0.628,0.61,0.649,0.697,0.663
10:00:00,0.717,0.671,0.67,0.509,0.459,0.475,0.632,0.632,0.615,0.657,0.7,0.662
10:30:00,0.726,0.664,0.667,0.492,0.454,0.472,0.627,0.62,0.612,0.651,0.691,0.665
11:00:00,0.685,0.665,0.675,0.481,0.446,0.458,0.621,0.633,0.6,0.646,0.695,0.658
11:30:00,0.712,0.665,0.663,0.474,0.431,0.446,0.629,0.615,0.597,0.633,0.691,0.642
12:00:00,0.713,0.662,0.667,0.468,0.422,0.443,0.621,0.613,0.599,0.64,0.689,0.65
12:30:00,0.717,0.653,0.66,0.459,0.416,0.426,0.614,0.614,0.598,0.641,0.677,0.669
13:00:00,0.721,0.647,0.659,0.454,0.411,0.429,0.617,0.621,0.601,0.642,0.687,0.669
13:30:00,0.711,0.637,0.645,0.45,0.405,0.424,0.62,0.61,0.596,0.633,0.681,0.651
14:00:00,0.71,0.641,0.644,0.44,0.394,0.417,0.607,0.613,0.593,0.643,0.679,0.658
14:30:00,0.713,0.627,0.642,0.44,0.392,0.41,0.604,0.599,0.591,0.633,0.659,0.658
15:00:00,0.707,0.629,0.64,0.431,0.384,0.408,0.599,0.598,0.587,0.63,0.654,0.654
15:30:00,0.702,0.627,0.628,0.428,0.375,0.404,0.6,0.593,0.563,0.621,0.653,0.65
16:00:00,0.686,0.619,0.621,0.426,0.375,0.399,0.588,0.586,0.573,0.62,0.66,0.643
16:30:00,0.684,0.612,0.611,0.42,0.372,0.394,0.58,0.573,0.564,0.622,0.642,0.637
17:00:00,0.685,0.59,0.601,0.416,0.368,0.389,0.57,0.571,0.562,0.61,0.636,0.627
17:30:00,0.672,0.591,0.587,0.41,0.36,0.392,0.554,0.563,0.55,0.601,0.631,0.611
18:00:00,0.678,0.579,0.59,0.404,0.359,0.388,0.556,0.556,0.541,0.598,0.628,0.612
18:30:00,0.667,0.57,0.576,0.405,0.357,0.384,0.544,0.547,0.535,0.582,0.619,0.61
19:00:00,0.67,0.56,0.561,0.404,0.35,0.385,0.532,0.531,0.518,0.583,0.612,0.605
19:30:00,0.647,0.558,0.554,0.396,0.354,0.381,0.524,0.516,0.511,0.569,0.598,0.604
20:00:00,0.633,0.541,0.542,0.393,0.344,0.379,0.511,0.506,0.494,0.557,0.583,0.58
20:30:00,0.61,0.522,0.531,0.394,0.344,0.376,0.495,0.49,0.484,0.55,0.574,0.581
